,Preço,Detalhes,Link
40,"R$ 1.200,00 "," Apartamento no Centro de Pato Branco, com três quartos sendo uma suíte. Vaga dupla de garagem. ",http://www.habitar.imb.br/imoveis/687968/apartamento-102-edificio-siena
41,"R$ 90.000,00 "," LOTEAMENTO CAPELEZZO TERRENOS DE 13,00 M² x 24,00 M2.
 ",http://www.habitar.imb.br/imoveis/683231/loteamento-capelezzo
42,"R$ 105.000,00 "," TERRENO LOCALIZADO NO BAIRRO SÃO FRANCISCO - LOTEAMENTO VILA MATILDE COM 411,71M² ",http://www.habitar.imb.br/imoveis/681630/terreno-bairro-sao-francisco
43,"R$ 678.000,00 "," SOBRADO ALTO PADRÃO COM 162M² DE ÁREA TOTAL E TERRENO COM 180M² .
SUÍTE MAIS DOIS QUARTOS.
EDÍCULA COM CHURRASQUEIRA. ",http://www.habitar.imb.br/imoveis/681515/sobrado-bairro-pinheirinho
44,"R$ 900,00 "," Sala comercial com 01 vaga de garagem, localizada no Centro de Pato Branco, ótima localização.
 ",http://www.habitar.imb.br/imoveis/680807/sala-comercial-501-edificio-gold-center
45,"R$ 4.000,00 "," Barracão com área total de 600 m² e 500m² de área privativa.
 ",http://www.habitar.imb.br/imoveis/680364/barracao-em-vitorino
46,"R$ 147.000,00 "," APARTAMENTO NO EDIFÍCIO RESIDENCIAL ALEXANDRE'S COM DOIS QUARTOS E ÁREA TOTAL DE 52,719m² MAIS VAGA DE ESTACIONAMENTO COBERTA. ",http://www.habitar.imb.br/imoveis/678920/apartamento-204-edificio-alexandre-s
47,"R$ 650.000,00 "," Terreno Localizado no Bairro Vila Izabel com 901,00 m².
Com 21,20 metros de frente para a Rua Arthur Bernardes. ",http://www.habitar.imb.br/imoveis/677039/terreno-vila-izabel
48,R$ Consulte Valor ," Casa La Salle com 156,96 m² de área total.
Suíte, dois quartos.
Piscina com aquecimento a gás.
Espaço gourmet, quarto de hóspedes. ",http://www.habitar.imb.br/imoveis/676973/casa-alvenaria-la-salle
49,"R$ 1.690.000,00 "," CASA COM 380,00 M² 
TERRENO COM 487,00 M²
LOCALIZAÇÃO PRIVILEGIADA BAIRRO LA SALLE.
 ",http://www.habitar.imb.br/imoveis/676694/casa-alto-padrao-la-salle
50,R$ Consulte Valor ," LANÇAMENTO LOTEAMENTO DOM LUIZ
LOTES DE 312,20 M² À 520,48 M²
GARANTA VALORES ESPECIAIS DE LANÇAMENTO ",http://www.habitar.imb.br/imoveis/676612/loteamento-dom-luiz
51,R$ Consulte Valor ,"     Apartamentos com 01 suíte mais 01 quarto com 138,53m² de área total com garagens;
    Apartamentos com 01 suíte mais 02 quartos com 151,21m² de área total com garagens;
    02 vagas de garagem por apartamento;
 ",http://www.habitar.imb.br/imoveis/676030/residencial-julia
52,R$ Consulte Valor ," PARA UM ESTILO DE VIDA MODERNO E URBANO, O PRÉDIO CONTA COM UMA EXCELENTE LOCALIZAÇÃO, NA ÁREA CENTRAL DA CIDADE. 
UM PROJETO ARROJADO QUE APRESENTA UMA EXCELENTE ORIENTAÇÃO SOLAR, PROPORCIONANDO ÓTIMOS VISUAIS DO CENTRO DA CIDADE.
DOIS APARTAMENTOS POR ANDAR, ÁREAS PRIVATIVAS DE 228,80 M² E 268,50 M². ",http://www.habitar.imb.br/imoveis/676014/edificio-octaviano-marcante
53,R$ Consulte Valor ," APARTAMENTOS COM UMA SUÍTE MAIS UM QUARTO COM 85,30 M² A 96,66 M².
APARTAMENTOS COM UMA SUÍTE MAIS DOIS QUARTOS COM 102,20 M² A 106,52 M².
01 OU 02 VAGAS DE GARAGEM + BOX.
SACADA COM CHURRASQUEIRA E PONTO DE GÁS.  ",http://www.habitar.imb.br/imoveis/675139/residencial-berlattorre
